affix	stem	stemPOS	derived	derivedPOS	type	relatedness_score	relatedness_class	quality_score	quality_class
-ion	abrade	v	abrasion	n	test	4.71	LR	4.133333333	HQ
-er	abstain	v	abstainer	n	test	6.43	HR	2.766666667	LQ
-ion	abstain	v	abstention	n	test	4.43	LR	3.2	HQ
-ity	accessible	j	accessibility	n	test	6.14	HR	4	HQ
-ion	accrete	v	accretion	n	test	5.86	HR	3.6	HQ
-ist	active	n	activist	n	test	3.29	LR	4.966666667	HQ
-able	adapt	v	adaptable	j	test	6.29	HR	2.833333333	LQ
-ion	addict	v	addiction	n	test	6.43	HR	5.4	HQ
-ment	adorn	v	adornment	n	test	6.29	HR	5.566666667	HQ
-ment	advertise	v	advertisement	n	test	6.29	HR	6.6	HQ
-ion	aggravate	v	aggravation	n	test	6.57	HR	4.466666667	HQ
-ion	aggregate	v	aggregation	n	test	6.57	HR	2.333333333	LQ
-able	agree	v	agreeable	j	test	6	HR	6.433333333	HQ
-less	air	n	airless	j	test	4.14	LR	2.4	LQ
-ist	alarm	n	alarmist	n	test	5.71	HR	2.366666667	LQ
-ion	allocate	v	allocation	n	test	6.43	HR	4.366666667	HQ
-ic	altruist	n	altruistic	j	test	6.43	HR	3.933333333	HQ
-ment	amaze	v	amazement	n	test	6.29	HR	6	HQ
-ness	ambitious	j	ambitiousness	n	test	6.29	HR	2.1	LQ
-able	amend	v	amendable	j	test	6.14	HR	3.666666667	HQ
-ic	amoeba	n	amoebic	j	test	6.14	HR	2.666666667	LQ
-ous	amphibian	n	amphibious	j	test	6.43	HR	1.466666667	LQ
-ize	analogy	n	analogize	v	test	6.57	HR	3.033333333	HQ
-ic	anarchist	n	anarchistic	j	test	6.86	HR	3.666666667	HQ
-al	anecdote	n	anecdotal	j	test	6.57	HR	4.366666667	HQ
-ic	angel	n	angelic	j	test	5.71	HR	5.9	HQ
-ist	animism	n	animist	n	test	6.14	HR	4.566666667	HQ
-ity	anonymous	j	anonymity	n	test	6.43	HR	6.033333333	HQ
-ist	anthology	n	anthologist	n	test	6.43	HR	3.2	HQ
